
## music.csv
1001	我們的LIVE 與你的LIFE	
1002	SUNNY DAY SONG	
1003	A song for You! You? You!!	
1004	？←HEARTBEAT	
1005	after school NAVIGATORS	
1006	Anemone heart	
1007	Angelic Angel	
1008	baby maybe 戀愛的按鈕	
1009	Beat in Angel	
1010	CheerDay CheerGirl!	
1011	COLORFUL VOICE	
1012	Cutie Panther	
1014	Dancing stars on me!	
1015	Daring!!	
1016	Dreamin' Go! Go!!	
1017	ENDLESS PARADE	
1019	Future style	
1020	Happy maker!	
1021	HEART to HEART!	
1022	Hello, 細數星星	

## card.csv
10010001	發起人	
10010002	勇往直前！	
10010003	積極樂觀	
10010004	精神最重要	
10010005	練習準備！	
10010006	一起唱歌吧	
10010007	晚安笑容	
10010008	外出時的笑容	
10010009	要扣殺囉	
10010010	笑容全開！	
10010011	火焰之心	
10010012	要把你吃掉囉？	
10010013	盛開的櫻花	
10010014	米飯水果！？	
10020001	四分之一血統	
10020002	頭腦清晰	
10020003	大家的人氣王	
10020004	運動神經出眾	
10020005	責任感	
10020006	學生會長	

## new_skill.csv
10010001	發起人	每達成 {0} 次 PERFECT，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10010002	勇往直前！	每達成 {0} 個節奏圖示，有 {1}% 機率<br>在 {2} 秒內讓 PERFECT 判定範圍擴大 {3} 階段。
10010003	積極樂觀	每達成 {0} 個節奏圖示，有 {1}% 機率<br>在 {2} 秒內讓 μ's 節奏圖示分數增加 {3}。
10010004	精神最重要	每達成 {0} 個節奏圖示，有 {1}% 機率<br>回復 {3} 體力。
10010005	練習準備！	每達成 {0} COMBO，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10010006	一起唱歌吧	每達成 {0} 個節奏圖示，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10010007	晚安笑容	每達成 {0} COMBO，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10010008	外出時的笑容	每達成 {0} 個節奏圖示，有 {1}% 機率<br>在 {2} 秒內讓 PERFECT 獲得的分數增加 {3}。
10010009	要扣殺囉	每達成 {0} COMBO，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10010010	笑容全開！	每達成 {0} 個節奏圖示，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10010011	火焰之心	每達成 {0} COMBO，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10010012	要把你吃掉囉？	每達成 {0} 個節奏圖示，有 {1}% 機率<br>在 {2} 秒內讓 PERFECT 判定範圍擴大 {3} 階段。
10010013	盛開的櫻花	每達成 {0} 個節奏圖示，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10010014	米飯水果！？	每隔 {0} 秒，有 {1}% 機率<br>在 {2} 秒內讓 PERFECT 判定範圍擴大 {3} 階段。
10020001	四分之一血統	每達成 {0} 個節奏圖示，有 {1}% 機率<br>回復 {3} 體力。
